"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - rollout/perc_off_road","HR-PPO - rollout/perc_off_road__MIN","HR-PPO - rollout/perc_off_road__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - rollout/perc_off_road","PPO - rollout/perc_off_road__MIN","PPO - rollout/perc_off_road__MAX"
"3459897","","","","","","","282","282","282","8.553459167480469","8.553459167480469","8.553459167480469"
"3474229","294","294","294","3.9156627655029297","3.9156627655029297","3.9156627655029297","","","","","",""
"3489538","","","","","","","284","284","284","5.966162204742432","5.966162204742432","5.966162204742432"
"3500408","296","296","296","5.370101451873779","5.370101451873779","5.370101451873779","","","","","",""
"3514628","","","","","","","286","286","286","6.6445183753967285","6.6445183753967285","6.6445183753967285"
"3520493","298","298","298","4.485981464385986","4.485981464385986","4.485981464385986","","","","","",""
"3538354","","","","","","","288","288","288","8.986175537109375","8.986175537109375","8.986175537109375"
"3545059","300","300","300","7.981220722198486","7.981220722198486","7.981220722198486","","","","","",""
"3566046","","","","","","","290","290","290","6.7913384437561035","6.7913384437561035","6.7913384437561035"
"3572573","302","302","302","3.4770514965057373","3.4770514965057373","3.4770514965057373","","","","","",""
"3596244","304","304","304","5.032467365264893","5.032467365264893","5.032467365264893","","","","","",""
"3597555","","","","","","","292","292","292","6.869565010070801","6.869565010070801","6.869565010070801"
"3619908","306","306","306","6.584992408752441","6.584992408752441","6.584992408752441","","","","","",""
"3624237","","","","","","","294","294","294","6.091370582580566","6.091370582580566","6.091370582580566"
"3650383","308","308","308","4.7393364906311035","4.7393364906311035","4.7393364906311035","","","","","",""
"3651698","","","","","","","296","296","296","7.535641670227051","7.535641670227051","7.535641670227051"
"3676763","","","","","","","298","298","298","6.749156475067139","6.749156475067139","6.749156475067139"
"3677757","310","310","310","6.460674285888672","6.460674285888672","6.460674285888672","","","","","",""
"3696952","","","","","","","300","300","300","8.267716407775879","8.267716407775879","8.267716407775879"
"3698323","312","312","312","4.973357200622559","4.973357200622559","4.973357200622559","","","","","",""
"3720844","314","314","314","5.872483253479004","5.872483253479004","5.872483253479004","","","","","",""
"3722583","","","","","","","302","302","302","6.510138511657715","6.510138511657715","6.510138511657715"
"3747461","","","","","","","304","304","304","5.83613920211792","5.83613920211792","5.83613920211792"
"3749171","316","316","316","4.447439193725586","4.447439193725586","4.447439193725586","","","","","",""
"3770218","318","318","318","4.938271522521973","4.938271522521973","4.938271522521973","","","","","",""
"3771265","","","","","","","306","306","306","7.574094295501709","7.574094295501709","7.574094295501709"
"3794407","320","320","320","4.769001483917236","4.769001483917236","4.769001483917236","","","","","",""
"3795098","","","","","","","308","308","308","7.736063480377197","7.736063480377197","7.736063480377197"
"3824246","","","","","","","310","310","310","5.730129241943359","5.730129241943359","5.730129241943359"
"3825071","322","322","322","3.8787879943847656","3.8787879943847656","3.8787879943847656","","","","","",""
"3849960","","","","","","","312","312","312","7.004310131072998","7.004310131072998","7.004310131072998"
