"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - rollout/perc_goal_achieved","HR-PPO - rollout/perc_goal_achieved__MIN","HR-PPO - rollout/perc_goal_achieved__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - rollout/perc_goal_achieved","PPO - rollout/perc_goal_achieved__MIN","PPO - rollout/perc_goal_achieved__MAX"
"2051596","178","178","178","85.07794952392578","85.07794952392578","85.07794952392578","","","","","",""
"2071006","180","180","180","85.00914001464844","85.00914001464844","85.00914001464844","","","","","",""
"2076581","","","","","","","174","174","174","83.94449615478516","83.94449615478516","83.94449615478516"
"2090277","182","182","182","86.75889587402344","86.75889587402344","86.75889587402344","","","","","",""
"2103162","","","","","","","176","176","176","83.7696304321289","83.7696304321289","83.7696304321289"
"2112639","184","184","184","84.82758331298828","84.82758331298828","84.82758331298828","","","","","",""
"2128861","","","","","","","178","178","178","85.5579833984375","85.5579833984375","85.5579833984375"
"2140418","186","186","186","87.51696014404297","87.51696014404297","87.51696014404297","","","","","",""
"2155786","","","","","","","180","180","180","87.2708740234375","87.2708740234375","87.2708740234375"
"2162211","188","188","188","84.13793182373047","84.13793182373047","84.13793182373047","","","","","",""
"2188695","190","190","190","88.46154022216797","88.46154022216797","88.46154022216797","","","","","",""
"2192202","","","","","","","182","182","182","87.13204193115234","87.13204193115234","87.13204193115234"
"2217309","","","","","","","184","184","184","85.7605209350586","85.7605209350586","85.7605209350586"
"2221939","192","192","192","89.58097076416016","89.58097076416016","89.58097076416016","","","","","",""
"2243492","","","","","","","186","186","186","84.35155487060547","84.35155487060547","84.35155487060547"
"2251559","194","194","194","87.81127166748047","87.81127166748047","87.81127166748047","","","","","",""
"2268098","","","","","","","188","188","188","87.82201385498047","87.82201385498047","87.82201385498047"
"2276399","196","196","196","85.1454849243164","85.1454849243164","85.1454849243164","","","","","",""
"2292292","","","","","","","190","190","190","88.59223175048828","88.59223175048828","88.59223175048828"
"2300027","198","198","198","91.02564239501953","91.02564239501953","91.02564239501953","","","","","",""
"2319078","","","","","","","192","192","192","88.04469299316406","88.04469299316406","88.04469299316406"
"2322014","200","200","200","87.10218048095703","87.10218048095703","87.10218048095703","","","","","",""
"2343490","","","","","","","194","194","194","87.58782196044922","87.58782196044922","87.58782196044922"
"2345951","202","202","202","86.1156997680664","86.1156997680664","86.1156997680664","","","","","",""
"2371140","","","","","","","196","196","196","87.00906372070312","87.00906372070312","87.00906372070312"
"2374210","204","204","204","87.4831771850586","87.4831771850586","87.4831771850586","","","","","",""
"2395259","206","206","206","84.54706573486328","84.54706573486328","84.54706573486328","","","","","",""
"2398776","","","","","","","198","198","198","88.65323638916016","88.65323638916016","88.65323638916016"
"2416297","208","208","208","87.85211181640625","87.85211181640625","87.85211181640625","","","","","",""
"2422392","","","","","","","200","200","200","87.81407165527344","87.81407165527344","87.81407165527344"
"2443051","210","210","210","85.1748275756836","85.1748275756836","85.1748275756836","","","","","",""
"2444982","","","","","","","202","202","202","88.48560333251953","88.48560333251953","88.48560333251953"
"2469817","212","212","212","86.26609802246094","86.26609802246094","86.26609802246094","","","","","",""
"2472808","","","","","","","204","204","204","87.53768920898438","87.53768920898438","87.53768920898438"
"2493279","214","214","214","89.15857696533203","89.15857696533203","89.15857696533203","","","","","",""
"2495518","","","","","","","206","206","206","87.6543197631836","87.6543197631836","87.6543197631836"
"2517480","216","216","216","85.98265838623047","85.98265838623047","85.98265838623047","","","","","",""
"2524282","","","","","","","208","208","208","88.69654083251953","88.69654083251953","88.69654083251953"
"2545210","218","218","218","90.1369857788086","90.1369857788086","90.1369857788086","","","","","",""
"2551612","","","","","","","210","210","210","89.13501739501953","89.13501739501953","89.13501739501953"
"2573311","220","220","220","93.31513977050781","93.31513977050781","93.31513977050781","","","","","",""
