"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - rollout/ep_rew_mean_norm","HR-PPO - rollout/ep_rew_mean_norm__MIN","HR-PPO - rollout/ep_rew_mean_norm__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - rollout/ep_rew_mean_norm","PPO - rollout/ep_rew_mean_norm__MIN","PPO - rollout/ep_rew_mean_norm__MAX"
"1243603","","","","","","","108","108","108","0.7729742527008057","0.7729742527008057","0.7729742527008057"
"1261749","114","114","114","0.8270618319511414","0.8270618319511414","0.8270618319511414","","","","","",""
"1269949","","","","","","","110","110","110","0.7689691185951233","0.7689691185951233","0.7689691185951233"
"1286313","116","116","116","0.8331283330917358","0.8331283330917358","0.8331283330917358","","","","","",""
"1292149","","","","","","","112","112","112","0.7434844970703125","0.7434844970703125","0.7434844970703125"
"1313074","118","118","118","0.7169082164764404","0.7169082164764404","0.7169082164764404","","","","","",""
"1317217","","","","","","","114","114","114","0.741306483745575","0.741306483745575","0.741306483745575"
"1339787","","","","","","","116","116","116","0.7684760093688965","0.7684760093688965","0.7684760093688965"
"1342961","120","120","120","0.8892110586166382","0.8892110586166382","0.8892110586166382","","","","","",""
"1369057","122","122","122","0.8471707105636597","0.8471707105636597","0.8471707105636597","","","","","",""
"1376254","","","","","","","118","118","118","0.7334865927696228","0.7334865927696228","0.7334865927696228"
"1392256","124","124","124","0.8004738688468933","0.8004738688468933","0.8004738688468933","","","","","",""
"1394868","","","","","","","120","120","120","0.7838025093078613","0.7838025093078613","0.7838025093078613"
"1411314","126","126","126","0.8156093955039978","0.8156093955039978","0.8156093955039978","","","","","",""
"1421903","","","","","","","122","122","122","0.7992997169494629","0.7992997169494629","0.7992997169494629"
"1435132","128","128","128","0.7975801825523376","0.7975801825523376","0.7975801825523376","","","","","",""
"1449902","","","","","","","124","124","124","0.7560420036315918","0.7560420036315918","0.7560420036315918"
"1452760","130","130","130","0.830875813961029","0.830875813961029","0.830875813961029","","","","","",""
"1475488","132","132","132","0.812282145023346","0.812282145023346","0.812282145023346","","","","","",""
"1478568","","","","","","","126","126","126","0.7794851660728455","0.7794851660728455","0.7794851660728455"
"1495687","134","134","134","0.8612989783287048","0.8612989783287048","0.8612989783287048","","","","","",""
"1503928","","","","","","","128","128","128","0.7508252263069153","0.7508252263069153","0.7508252263069153"
"1523128","136","136","136","0.8266074657440186","0.8266074657440186","0.8266074657440186","","","","","",""
"1531535","","","","","","","130","130","130","0.7231365442276001","0.7231365442276001","0.7231365442276001"
"1551370","138","138","138","0.8399906754493713","0.8399906754493713","0.8399906754493713","","","","","",""
"1555004","","","","","","","132","132","132","0.7762576341629028","0.7762576341629028","0.7762576341629028"
"1578293","140","140","140","0.8087563514709473","0.8087563514709473","0.8087563514709473","","","","","",""
"1578782","","","","","","","134","134","134","0.7534582018852234","0.7534582018852234","0.7534582018852234"
"1601743","","","","","","","136","136","136","0.7731227278709412","0.7731227278709412","0.7731227278709412"
"1605155","142","142","142","0.7070949673652649","0.7070949673652649","0.7070949673652649","","","","","",""
"1627732","144","144","144","0.7790798544883728","0.7790798544883728","0.7790798544883728","","","","","",""
"1628513","","","","","","","138","138","138","0.8040084838867188","0.8040084838867188","0.8040084838867188"
"1649605","146","146","146","0.826104462146759","0.826104462146759","0.826104462146759","","","","","",""
"1651184","","","","","","","140","140","140","0.7937978506088257","0.7937978506088257","0.7937978506088257"
"1672554","148","148","148","0.830388605594635","0.830388605594635","0.830388605594635","","","","","",""
"1673867","","","","","","","142","142","142","0.7640178799629211","0.7640178799629211","0.7640178799629211"
"1695649","150","150","150","0.8770921230316162","0.8770921230316162","0.8770921230316162","","","","","",""
"1703373","","","","","","","144","144","144","0.8213627338409424","0.8213627338409424","0.8213627338409424"
"1718102","152","152","152","0.8505216836929321","0.8505216836929321","0.8505216836929321","","","","","",""
"1728849","","","","","","","146","146","146","0.8123019337654114","0.8123019337654114","0.8123019337654114"
"1743965","154","154","154","0.8328402638435364","0.8328402638435364","0.8328402638435364","","","","","",""
"1757084","","","","","","","148","148","148","0.7975997924804688","0.7975997924804688","0.7975997924804688"
"1775644","","","","","","","150","150","150","0.7977424263954163","0.7977424263954163","0.7977424263954163"
"1776897","156","156","156","0.7932459712028503","0.7932459712028503","0.7932459712028503","","","","","",""
"1801331","158","158","158","0.8650829792022705","0.8650829792022705","0.8650829792022705","","","","","",""
"1802733","","","","","","","152","152","152","0.7815529704093933","0.7815529704093933","0.7815529704093933"
"1823599","160","160","160","0.8552030324935913","0.8552030324935913","0.8552030324935913","","","","","",""
"1827808","","","","","","","154","154","154","0.8120815753936768","0.8120815753936768","0.8120815753936768"
"1845282","162","162","162","0.8386030793190002","0.8386030793190002","0.8386030793190002","","","","","",""
"1852574","","","","","","","156","156","156","0.7803946733474731","0.7803946733474731","0.7803946733474731"
"1873307","","","","","","","158","158","158","0.7988702058792114","0.7988702058792114","0.7988702058792114"
"1877128","164","164","164","0.79764723777771","0.79764723777771","0.79764723777771","","","","","",""
"1897617","166","166","166","0.8131439089775085","0.8131439089775085","0.8131439089775085","","","","","",""
"1898185","","","","","","","160","160","160","0.7936438322067261","0.7936438322067261","0.7936438322067261"
"1927468","","","","","","","162","162","162","0.8112273216247559","0.8112273216247559","0.8112273216247559"
"1929591","168","168","168","0.8636207580566406","0.8636207580566406","0.8636207580566406","","","","","",""
"1950946","","","","","","","164","164","164","0.8418398499488831","0.8418398499488831","0.8418398499488831"
"1959889","170","170","170","0.8720797896385193","0.8720797896385193","0.8720797896385193","","","","","",""
"1972418","","","","","","","166","166","166","0.829724907875061","0.829724907875061","0.829724907875061"
"1987420","172","172","172","0.8437812328338623","0.8437812328338623","0.8437812328338623","","","","","",""
"1992119","","","","","","","168","168","168","0.8077728152275085","0.8077728152275085","0.8077728152275085"
"2013738","174","174","174","0.8123530745506287","0.8123530745506287","0.8123530745506287","","","","","",""
"2018173","","","","","","","170","170","170","0.8238883018493652","0.8238883018493652","0.8238883018493652"
"2035142","176","176","176","0.8431318402290344","0.8431318402290344","0.8431318402290344","","","","","",""
"2048342","","","","","","","172","172","172","0.8390272855758667","0.8390272855758667","0.8390272855758667"
"2051596","178","178","178","0.8257020711898804","0.8257020711898804","0.8257020711898804","","","","","",""
"2071006","180","180","180","0.8581679463386536","0.8581679463386536","0.8581679463386536","","","","","",""
"2076581","","","","","","","174","174","174","0.7851840853691101","0.7851840853691101","0.7851840853691101"
"2090277","182","182","182","0.805029571056366","0.805029571056366","0.805029571056366","","","","","",""
"2103162","","","","","","","176","176","176","0.7746096253395081","0.7746096253395081","0.7746096253395081"
"2112639","184","184","184","0.8044065237045288","0.8044065237045288","0.8044065237045288","","","","","",""
"2128861","","","","","","","178","178","178","0.8017450571060181","0.8017450571060181","0.8017450571060181"
"2140418","186","186","186","0.8345127105712891","0.8345127105712891","0.8345127105712891","","","","","",""
"2155786","","","","","","","180","180","180","0.816362738609314","0.816362738609314","0.816362738609314"
"2162211","188","188","188","0.791008472442627","0.791008472442627","0.791008472442627","","","","","",""
"2188695","190","190","190","0.849610447883606","0.849610447883606","0.849610447883606","","","","","",""
"2192202","","","","","","","182","182","182","0.8149224519729614","0.8149224519729614","0.8149224519729614"
"2217309","","","","","","","184","184","184","0.8002555966377258","0.8002555966377258","0.8002555966377258"
"2221939","192","192","192","0.8369630575180054","0.8369630575180054","0.8369630575180054","","","","","",""
"2243492","","","","","","","186","186","186","0.7916874885559082","0.7916874885559082","0.7916874885559082"
"2251559","194","194","194","0.8160117864608765","0.8160117864608765","0.8160117864608765","","","","","",""
"2268098","","","","","","","188","188","188","0.821730375289917","0.821730375289917","0.821730375289917"
"2276399","196","196","196","0.814501166343689","0.814501166343689","0.814501166343689","","","","","",""
"2292292","","","","","","","190","190","190","0.8526933789253235","0.8526933789253235","0.8526933789253235"
"2300027","198","198","198","0.8734538555145264","0.8734538555145264","0.8734538555145264","","","","","",""
"2319078","","","","","","","192","192","192","0.8129330277442932","0.8129330277442932","0.8129330277442932"
"2322014","200","200","200","0.8370097875595093","0.8370097875595093","0.8370097875595093","","","","","",""
"2343490","","","","","","","194","194","194","0.8344204425811768","0.8344204425811768","0.8344204425811768"
"2345951","202","202","202","0.825675904750824","0.825675904750824","0.825675904750824","","","","","",""
"2371140","","","","","","","196","196","196","0.8195219039916992","0.8195219039916992","0.8195219039916992"
"2374210","204","204","204","0.8456259369850159","0.8456259369850159","0.8456259369850159","","","","","",""
"2395259","206","206","206","0.8300732374191284","0.8300732374191284","0.8300732374191284","","","","","",""
"2398776","","","","","","","198","198","198","0.8454114198684692","0.8454114198684692","0.8454114198684692"
"2416297","208","208","208","0.8618938326835632","0.8618938326835632","0.8618938326835632","","","","","",""
"2422392","","","","","","","200","200","200","0.8158361315727234","0.8158361315727234","0.8158361315727234"
"2443051","210","210","210","0.8236489295959473","0.8236489295959473","0.8236489295959473","","","","","",""
"2444982","","","","","","","202","202","202","0.8399621844291687","0.8399621844291687","0.8399621844291687"
"2469817","212","212","212","0.8114861249923706","0.8114861249923706","0.8114861249923706","","","","","",""
"2472808","","","","","","","204","204","204","0.8132557272911072","0.8132557272911072","0.8132557272911072"
"2493279","214","214","214","0.856504499912262","0.856504499912262","0.856504499912262","","","","","",""
"2495518","","","","","","","206","206","206","0.8043408989906311","0.8043408989906311","0.8043408989906311"
"2517480","216","216","216","0.8028675317764282","0.8028675317764282","0.8028675317764282","","","","","",""
"2524282","","","","","","","208","208","208","0.8165293335914612","0.8165293335914612","0.8165293335914612"
"2545210","218","218","218","0.8535181283950806","0.8535181283950806","0.8535181283950806","","","","","",""
"2551612","","","","","","","210","210","210","0.8487284779548645","0.8487284779548645","0.8487284779548645"
"2573311","220","220","220","0.8929200768470764","0.8929200768470764","0.8929200768470764","","","","","",""
"2581115","","","","","","","212","212","212","0.8450924158096313","0.8450924158096313","0.8450924158096313"
"2598877","222","222","222","0.9067496061325073","0.9067496061325073","0.9067496061325073","","","","","",""
"2611186","","","","","","","214","214","214","0.8664135336875916","0.8664135336875916","0.8664135336875916"
"2625921","224","224","224","0.8826852440834045","0.8826852440834045","0.8826852440834045","","","","","",""
"2633584","","","","","","","216","216","216","0.8537164926528931","0.8537164926528931","0.8537164926528931"
"2652521","226","226","226","0.8727383613586426","0.8727383613586426","0.8727383613586426","","","","","",""
"2660251","","","","","","","218","218","218","0.8632094264030457","0.8632094264030457","0.8632094264030457"
"2671405","228","228","228","0.8611149191856384","0.8611149191856384","0.8611149191856384","","","","","",""
"2683470","","","","","","","220","220","220","0.8334185481071472","0.8334185481071472","0.8334185481071472"
"2692270","230","230","230","0.8608004450798035","0.8608004450798035","0.8608004450798035","","","","","",""
"2709431","","","","","","","222","222","222","0.8355140686035156","0.8355140686035156","0.8355140686035156"
"2710416","232","232","232","0.8458476662635803","0.8458476662635803","0.8458476662635803","","","","","",""
"2731259","","","","","","","224","224","224","0.8204433917999268","0.8204433917999268","0.8204433917999268"
"2737925","234","234","234","0.8610820174217224","0.8610820174217224","0.8610820174217224","","","","","",""
"2753859","","","","","","","226","226","226","0.8575071692466736","0.8575071692466736","0.8575071692466736"
"2763739","236","236","236","0.8263258337974548","0.8263258337974548","0.8263258337974548","","","","","",""
"2787202","","","","","","","228","228","228","0.856304407119751","0.856304407119751","0.856304407119751"
"2790898","238","238","238","0.8176106214523315","0.8176106214523315","0.8176106214523315","","","","","",""
"2808510","240","240","240","0.8892645835876465","0.8892645835876465","0.8892645835876465","","","","","",""
"2809073","","","","","","","230","230","230","0.8445464372634888","0.8445464372634888","0.8445464372634888"
"2834802","242","242","242","0.8288872838020325","0.8288872838020325","0.8288872838020325","","","","","",""
"2836888","","","","","","","232","232","232","0.8408405184745789","0.8408405184745789","0.8408405184745789"
"2856460","","","","","","","234","234","234","0.8255942463874817","0.8255942463874817","0.8255942463874817"
