"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - regularize/pi_entropy","HR-PPO - regularize/pi_entropy__MIN","HR-PPO - regularize/pi_entropy__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - regularize/pi_entropy","PPO - regularize/pi_entropy__MIN","PPO - regularize/pi_entropy__MAX"
"2611186","","","","","","","214","214","214","3.475778818130493","3.475778818130493","3.475778818130493"
"2625921","224","224","224","1.4471300840377808","1.4471300840377808","1.4471300840377808","","","","","",""
"2633584","","","","","","","216","216","216","3.5465526580810547","3.5465526580810547","3.5465526580810547"
"2652521","226","226","226","1.6030350923538208","1.6030350923538208","1.6030350923538208","","","","","",""
"2660251","","","","","","","218","218","218","3.378506898880005","3.378506898880005","3.378506898880005"
"2671405","228","228","228","1.488914966583252","1.488914966583252","1.488914966583252","","","","","",""
"2683470","","","","","","","220","220","220","3.553136110305786","3.553136110305786","3.553136110305786"
"2692270","230","230","230","1.5786042213439941","1.5786042213439941","1.5786042213439941","","","","","",""
"2709431","","","","","","","222","222","222","3.446387767791748","3.446387767791748","3.446387767791748"
"2710416","232","232","232","1.5353848934173584","1.5353848934173584","1.5353848934173584","","","","","",""
"2731259","","","","","","","224","224","224","3.3158435821533203","3.3158435821533203","3.3158435821533203"
"2737925","234","234","234","1.5733903646469116","1.5733903646469116","1.5733903646469116","","","","","",""
"2753859","","","","","","","226","226","226","3.4140799045562744","3.4140799045562744","3.4140799045562744"
"2763739","236","236","236","1.3801212310791016","1.3801212310791016","1.3801212310791016","","","","","",""
"2787202","","","","","","","228","228","228","3.4266555309295654","3.4266555309295654","3.4266555309295654"
"2790898","238","238","238","1.4468899965286255","1.4468899965286255","1.4468899965286255","","","","","",""
"2808510","240","240","240","1.6246346235275269","1.6246346235275269","1.6246346235275269","","","","","",""
"2809073","","","","","","","230","230","230","3.3661110401153564","3.3661110401153564","3.3661110401153564"
"2834802","242","242","242","1.4340267181396484","1.4340267181396484","1.4340267181396484","","","","","",""
"2836888","","","","","","","232","232","232","3.3787286281585693","3.3787286281585693","3.3787286281585693"
"2856460","","","","","","","234","234","234","3.319143533706665","3.319143533706665","3.319143533706665"
"2866494","244","244","244","1.5332635641098022","1.5332635641098022","1.5332635641098022","","","","","",""
"2880199","","","","","","","236","236","236","3.3225555419921875","3.3225555419921875","3.3225555419921875"
"2891340","246","246","246","1.5314230918884277","1.5314230918884277","1.5314230918884277","","","","","",""
"2903668","","","","","","","238","238","238","3.3611836433410645","3.3611836433410645","3.3611836433410645"
"2912800","248","248","248","1.483556866645813","1.483556866645813","1.483556866645813","","","","","",""
"2928672","","","","","","","240","240","240","3.2912378311157227","3.2912378311157227","3.2912378311157227"
"2939697","250","250","250","1.4655953645706177","1.4655953645706177","1.4655953645706177","","","","","",""
"2958749","","","","","","","242","242","242","3.271434783935547","3.271434783935547","3.271434783935547"
"2969202","252","252","252","1.258757472038269","1.258757472038269","1.258757472038269","","","","","",""
"2987591","","","","","","","244","244","244","3.248281478881836","3.248281478881836","3.248281478881836"
"2994947","254","254","254","1.3189204931259155","1.3189204931259155","1.3189204931259155","","","","","",""
"3012666","","","","","","","246","246","246","3.2622244358062744","3.2622244358062744","3.2622244358062744"
"3015515","256","256","256","1.52414870262146","1.52414870262146","1.52414870262146","","","","","",""
"3035424","258","258","258","1.503594160079956","1.503594160079956","1.503594160079956","","","","","",""
"3042025","","","","","","","248","248","248","3.1134696006774902","3.1134696006774902","3.1134696006774902"
"3058712","260","260","260","1.42183256149292","1.42183256149292","1.42183256149292","","","","","",""
"3066585","","","","","","","250","250","250","3.2140278816223145","3.2140278816223145","3.2140278816223145"
"3084261","262","262","262","1.4388386011123657","1.4388386011123657","1.4388386011123657","","","","","",""
"3091868","","","","","","","252","252","252","3.171358823776245","3.171358823776245","3.171358823776245"
