"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - rollout/perc_collided","HR-PPO - rollout/perc_collided__MIN","HR-PPO - rollout/perc_collided__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - rollout/perc_collided","PPO - rollout/perc_collided__MIN","PPO - rollout/perc_collided__MAX"
"2292292","","","","","","","190","190","190","5.582524299621582","5.582524299621582","5.582524299621582"
"2300027","198","198","198","4.166666507720947","4.166666507720947","4.166666507720947","","","","","",""
"2319078","","","","","","","192","192","192","6.256983280181885","6.256983280181885","6.256983280181885"
"2322014","200","200","200","5.527637958526611","5.527637958526611","5.527637958526611","","","","","",""
"2343490","","","","","","","194","194","194","6.908665180206299","6.908665180206299","6.908665180206299"
"2345951","202","202","202","5.619834899902344","5.619834899902344","5.619834899902344","","","","","",""
"2371140","","","","","","","196","196","196","5.7401814460754395","5.7401814460754395","5.7401814460754395"
"2374210","204","204","204","6.729475021362305","6.729475021362305","6.729475021362305","","","","","",""
"2395259","206","206","206","8.703374862670898","8.703374862670898","8.703374862670898","","","","","",""
"2398776","","","","","","","198","198","198","4.878048896789551","4.878048896789551","4.878048896789551"
"2416297","208","208","208","5.985915660858154","5.985915660858154","5.985915660858154","","","","","",""
"2422392","","","","","","","200","200","200","5.778894424438477","5.778894424438477","5.778894424438477"
"2443051","210","210","210","8.391608238220215","8.391608238220215","8.391608238220215","","","","","",""
"2444982","","","","","","","202","202","202","5.006258010864258","5.006258010864258","5.006258010864258"
"2469817","212","212","212","8.869813919067383","8.869813919067383","8.869813919067383","","","","","",""
"2472808","","","","","","","204","204","204","7.035175800323486","7.035175800323486","7.035175800323486"
"2493279","214","214","214","6.148867130279541","6.148867130279541","6.148867130279541","","","","","",""
"2495518","","","","","","","206","206","206","6.04938268661499","6.04938268661499","6.04938268661499"
"2517480","216","216","216","6.936416149139404","6.936416149139404","6.936416149139404","","","","","",""
"2524282","","","","","","","208","208","208","7.128309726715088","7.128309726715088","7.128309726715088"
"2545210","218","218","218","4.383561611175537","4.383561611175537","4.383561611175537","","","","","",""
"2551612","","","","","","","210","210","210","6.329113960266113","6.329113960266113","6.329113960266113"
"2573311","220","220","220","3.4106411933898926","3.4106411933898926","3.4106411933898926","","","","","",""
"2581115","","","","","","","212","212","212","4.945598602294922","4.945598602294922","4.945598602294922"
"2598877","222","222","222","4.761904716491699","4.761904716491699","4.761904716491699","","","","","",""
"2611186","","","","","","","214","214","214","4.315196990966797","4.315196990966797","4.315196990966797"
"2625921","224","224","224","2.8653295040130615","2.8653295040130615","2.8653295040130615","","","","","",""
"2633584","","","","","","","216","216","216","6.304079055786133","6.304079055786133","6.304079055786133"
"2652521","226","226","226","3.6931817531585693","3.6931817531585693","3.6931817531585693","","","","","",""
"2660251","","","","","","","218","218","218","4.376367568969727","4.376367568969727","4.376367568969727"
"2671405","228","228","228","3.75","3.75","3.75","","","","","",""
"2683470","","","","","","","220","220","220","5.445544719696045","5.445544719696045","5.445544719696045"
"2692270","230","230","230","2.846975088119507","2.846975088119507","2.846975088119507","","","","","",""
