"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - regularize/tau_entropy","HR-PPO - regularize/tau_entropy__MIN","HR-PPO - regularize/tau_entropy__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - regularize/tau_entropy","PPO - regularize/tau_entropy__MIN","PPO - regularize/tau_entropy__MAX"
"2551612","","","","","","","210","210","210","0.7599565982818604","0.7599565982818604","0.7599565982818604"
"2573311","220","220","220","0.3611839711666107","0.3611839711666107","0.3611839711666107","","","","","",""
"2581115","","","","","","","212","212","212","0.7929074764251709","0.7929074764251709","0.7929074764251709"
"2598877","222","222","222","0.3373810648918152","0.3373810648918152","0.3373810648918152","","","","","",""
"2611186","","","","","","","214","214","214","0.751677393913269","0.751677393913269","0.751677393913269"
"2625921","224","224","224","0.2836422324180603","0.2836422324180603","0.2836422324180603","","","","","",""
"2633584","","","","","","","216","216","216","0.7429759502410889","0.7429759502410889","0.7429759502410889"
"2652521","226","226","226","0.3007763922214508","0.3007763922214508","0.3007763922214508","","","","","",""
"2660251","","","","","","","218","218","218","0.733440637588501","0.733440637588501","0.733440637588501"
"2671405","228","228","228","0.28903013467788696","0.28903013467788696","0.28903013467788696","","","","","",""
"2683470","","","","","","","220","220","220","0.624112069606781","0.624112069606781","0.624112069606781"
"2692270","230","230","230","0.29959121346473694","0.29959121346473694","0.29959121346473694","","","","","",""
"2709431","","","","","","","222","222","222","0.8167727589607239","0.8167727589607239","0.8167727589607239"
"2710416","232","232","232","0.36705395579338074","0.36705395579338074","0.36705395579338074","","","","","",""
"2731259","","","","","","","224","224","224","0.7870255708694458","0.7870255708694458","0.7870255708694458"
"2737925","234","234","234","0.3426080644130707","0.3426080644130707","0.3426080644130707","","","","","",""
"2753859","","","","","","","226","226","226","0.714431881904602","0.714431881904602","0.714431881904602"
"2763739","236","236","236","0.2600061893463135","0.2600061893463135","0.2600061893463135","","","","","",""
"2787202","","","","","","","228","228","228","0.7527559995651245","0.7527559995651245","0.7527559995651245"
"2790898","238","238","238","0.3081405460834503","0.3081405460834503","0.3081405460834503","","","","","",""
"2808510","240","240","240","0.2402583807706833","0.2402583807706833","0.2402583807706833","","","","","",""
"2809073","","","","","","","230","230","230","0.7422199249267578","0.7422199249267578","0.7422199249267578"
"2834802","242","242","242","0.27468281984329224","0.27468281984329224","0.27468281984329224","","","","","",""
"2836888","","","","","","","232","232","232","0.7526900768280029","0.7526900768280029","0.7526900768280029"
"2856460","","","","","","","234","234","234","0.7142462134361267","0.7142462134361267","0.7142462134361267"
"2866494","244","244","244","0.33102947473526","0.33102947473526","0.33102947473526","","","","","",""
"2880199","","","","","","","236","236","236","0.8043541312217712","0.8043541312217712","0.8043541312217712"
"2891340","246","246","246","0.2696187198162079","0.2696187198162079","0.2696187198162079","","","","","",""
"2903668","","","","","","","238","238","238","0.7406102418899536","0.7406102418899536","0.7406102418899536"
"2912800","248","248","248","0.2275603711605072","0.2275603711605072","0.2275603711605072","","","","","",""
"2928672","","","","","","","240","240","240","0.7683550119400024","0.7683550119400024","0.7683550119400024"
"2939697","250","250","250","0.3182092010974884","0.3182092010974884","0.3182092010974884","","","","","",""
"2958749","","","","","","","242","242","242","0.7822054624557495","0.7822054624557495","0.7822054624557495"
"2969202","252","252","252","0.25840213894844055","0.25840213894844055","0.25840213894844055","","","","","",""
"2987591","","","","","","","244","244","244","0.6995382308959961","0.6995382308959961","0.6995382308959961"
"2994947","254","254","254","0.22002607583999634","0.22002607583999634","0.22002607583999634","","","","","",""
"3012666","","","","","","","246","246","246","0.6940603256225586","0.6940603256225586","0.6940603256225586"
"3015515","256","256","256","0.2935313284397125","0.2935313284397125","0.2935313284397125","","","","","",""
"3035424","258","258","258","0.3578259348869324","0.3578259348869324","0.3578259348869324","","","","","",""
"3042025","","","","","","","248","248","248","0.7451158165931702","0.7451158165931702","0.7451158165931702"
"3058712","260","260","260","0.31158530712127686","0.31158530712127686","0.31158530712127686","","","","","",""
