"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - regularize/loss_kl_weighted","HR-PPO - regularize/loss_kl_weighted__MIN","HR-PPO - regularize/loss_kl_weighted__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - regularize/loss_kl_weighted","PPO - regularize/loss_kl_weighted__MIN","PPO - regularize/loss_kl_weighted__MAX"
"2276399","196","196","196","0.05992778018116951","0.05992778018116951","0.05992778018116951","","","","","",""
"2292292","","","","","","","190","190","190","0","0","0"
"2300027","198","198","198","0.07864344120025635","0.07864344120025635","0.07864344120025635","","","","","",""
"2319078","","","","","","","192","192","192","0","0","0"
"2322014","200","200","200","0.08590219169855118","0.08590219169855118","0.08590219169855118","","","","","",""
"2343490","","","","","","","194","194","194","0","0","0"
"2345951","202","202","202","0.06666438281536102","0.06666438281536102","0.06666438281536102","","","","","",""
"2371140","","","","","","","196","196","196","0","0","0"
"2374210","204","204","204","0.06283663213253021","0.06283663213253021","0.06283663213253021","","","","","",""
"2395259","206","206","206","0.07151783257722855","0.07151783257722855","0.07151783257722855","","","","","",""
"2398776","","","","","","","198","198","198","0","0","0"
"2416297","208","208","208","0.06728710979223251","0.06728710979223251","0.06728710979223251","","","","","",""
"2422392","","","","","","","200","200","200","0","0","0"
"2443051","210","210","210","0.06936260312795639","0.06936260312795639","0.06936260312795639","","","","","",""
"2444982","","","","","","","202","202","202","0","0","0"
"2469817","212","212","212","0.07278919965028763","0.07278919965028763","0.07278919965028763","","","","","",""
"2472808","","","","","","","204","204","204","0","0","0"
"2493279","214","214","214","0.059571750462055206","0.059571750462055206","0.059571750462055206","","","","","",""
"2495518","","","","","","","206","206","206","0","0","0"
"2517480","216","216","216","0.07377415150403976","0.07377415150403976","0.07377415150403976","","","","","",""
"2524282","","","","","","","208","208","208","0","0","0"
"2545210","218","218","218","0.07868950814008713","0.07868950814008713","0.07868950814008713","","","","","",""
"2551612","","","","","","","210","210","210","0","0","0"
"2573311","220","220","220","0.07154163718223572","0.07154163718223572","0.07154163718223572","","","","","",""
"2581115","","","","","","","212","212","212","0","0","0"
"2598877","222","222","222","0.06650621443986893","0.06650621443986893","0.06650621443986893","","","","","",""
"2611186","","","","","","","214","214","214","0","0","0"
"2625921","224","224","224","0.061713166534900665","0.061713166534900665","0.061713166534900665","","","","","",""
"2633584","","","","","","","216","216","216","0","0","0"
"2652521","226","226","226","0.06561773270368576","0.06561773270368576","0.06561773270368576","","","","","",""
"2660251","","","","","","","218","218","218","0","0","0"
"2671405","228","228","228","0.06956999748945236","0.06956999748945236","0.06956999748945236","","","","","",""
"2683470","","","","","","","220","220","220","0","0","0"
"2692270","230","230","230","0.07472448796033859","0.07472448796033859","0.07472448796033859","","","","","",""
"2709431","","","","","","","222","222","222","0","0","0"
"2710416","232","232","232","0.0691300630569458","0.0691300630569458","0.0691300630569458","","","","","",""
"2731259","","","","","","","224","224","224","0","0","0"
"2737925","234","234","234","0.07786295562982559","0.07786295562982559","0.07786295562982559","","","","","",""
"2753859","","","","","","","226","226","226","0","0","0"
"2763739","236","236","236","0.054656170308589935","0.054656170308589935","0.054656170308589935","","","","","",""
"2787202","","","","","","","228","228","228","0","0","0"
"2790898","238","238","238","0.059704672545194626","0.059704672545194626","0.059704672545194626","","","","","",""
"2808510","240","240","240","0.07002729922533035","0.07002729922533035","0.07002729922533035","","","","","",""
"2809073","","","","","","","230","230","230","0","0","0"
"2834802","242","242","242","0.06675656139850616","0.06675656139850616","0.06675656139850616","","","","","",""
"2836888","","","","","","","232","232","232","0","0","0"
"2856460","","","","","","","234","234","234","0","0","0"
"2866494","244","244","244","0.06484033912420273","0.06484033912420273","0.06484033912420273","","","","","",""
"2880199","","","","","","","236","236","236","0","0","0"
"2891340","246","246","246","0.06815122067928314","0.06815122067928314","0.06815122067928314","","","","","",""
"2903668","","","","","","","238","238","238","0","0","0"
"2912800","248","248","248","0.04456370696425438","0.04456370696425438","0.04456370696425438","","","","","",""
"2928672","","","","","","","240","240","240","0","0","0"
"2939697","250","250","250","0.06771069020032883","0.06771069020032883","0.06771069020032883","","","","","",""
"2958749","","","","","","","242","242","242","0","0","0"
"2969202","252","252","252","0.04076681658625603","0.04076681658625603","0.04076681658625603","","","","","",""
"2987591","","","","","","","244","244","244","0","0","0"
"2994947","254","254","254","0.07083116471767426","0.07083116471767426","0.07083116471767426","","","","","",""
"3012666","","","","","","","246","246","246","0","0","0"
"3015515","256","256","256","0.07226420938968658","0.07226420938968658","0.07226420938968658","","","","","",""
"3035424","258","258","258","0.07855245471000671","0.07855245471000671","0.07855245471000671","","","","","",""
"3042025","","","","","","","248","248","248","0","0","0"
"3058712","260","260","260","0.06414259225130081","0.06414259225130081","0.06414259225130081","","","","","",""
"3066585","","","","","","","250","250","250","0","0","0"
"3084261","262","262","262","0.06505486369132996","0.06505486369132996","0.06505486369132996","","","","","",""
"3091868","","","","","","","252","252","252","0","0","0"
"3104791","264","264","264","0.06693363934755325","0.06693363934755325","0.06693363934755325","","","","","",""
"3116180","","","","","","","254","254","254","0","0","0"
"3125846","266","266","266","0.06894508004188538","0.06894508004188538","0.06894508004188538","","","","","",""
"3137564","","","","","","","256","256","256","0","0","0"
"3149225","268","268","268","0.0699332132935524","0.0699332132935524","0.0699332132935524","","","","","",""
"3168390","","","","","","","258","258","258","0","0","0"
"3172002","270","270","270","0.07156214118003845","0.07156214118003845","0.07156214118003845","","","","","",""
"3188056","","","","","","","260","260","260","0","0","0"
"3197381","272","272","272","0.070632204413414","0.070632204413414","0.070632204413414","","","","","",""
"3214107","","","","","","","262","262","262","0","0","0"
"3223359","274","274","274","0.06525483727455139","0.06525483727455139","0.06525483727455139","","","","","",""
"3240134","","","","","","","264","264","264","0","0","0"
"3251476","276","276","276","0.06590286642313004","0.06590286642313004","0.06590286642313004","","","","","",""
"3261806","","","","","","","266","266","266","0","0","0"
"3278751","278","278","278","0.06374059617519379","0.06374059617519379","0.06374059617519379","","","","","",""
"3287689","","","","","","","268","268","268","0","0","0"
"3304992","280","280","280","0.06160996854305267","0.06160996854305267","0.06160996854305267","","","","","",""
"3312168","","","","","","","270","270","270","0","0","0"
"3328695","282","282","282","0.061214596033096313","0.061214596033096313","0.061214596033096313","","","","","",""
"3332488","","","","","","","272","272","272","0","0","0"
"3345756","284","284","284","0.07059399783611298","0.07059399783611298","0.07059399783611298","","","","","",""
"3357059","","","","","","","274","274","274","0","0","0"
"3377093","286","286","286","0.068259097635746","0.068259097635746","0.068259097635746","","","","","",""
"3387868","","","","","","","276","276","276","0","0","0"
"3397174","288","288","288","0.058146290481090546","0.058146290481090546","0.058146290481090546","","","","","",""
"3412117","","","","","","","278","278","278","0","0","0"
"3423745","290","290","290","0.06544377654790878","0.06544377654790878","0.06544377654790878","","","","","",""
"3437272","","","","","","","280","280","280","0","0","0"
"3448424","292","292","292","0.06202472373843193","0.06202472373843193","0.06202472373843193","","","","","",""
"3459897","","","","","","","282","282","282","0","0","0"
"3474229","294","294","294","0.0725845992565155","0.0725845992565155","0.0725845992565155","","","","","",""
"3489538","","","","","","","284","284","284","0","0","0"
"3500408","296","296","296","0.06536005437374115","0.06536005437374115","0.06536005437374115","","","","","",""
"3514628","","","","","","","286","286","286","0","0","0"
"3520493","298","298","298","0.08388423174619675","0.08388423174619675","0.08388423174619675","","","","","",""
"3538354","","","","","","","288","288","288","0","0","0"
"3545059","300","300","300","0.0808403417468071","0.0808403417468071","0.0808403417468071","","","","","",""
"3566046","","","","","","","290","290","290","0","0","0"
"3572573","302","302","302","0.06043089181184769","0.06043089181184769","0.06043089181184769","","","","","",""
"3596244","304","304","304","0.06470514833927155","0.06470514833927155","0.06470514833927155","","","","","",""
"3597555","","","","","","","292","292","292","0","0","0"
"3619908","306","306","306","0.07692743092775345","0.07692743092775345","0.07692743092775345","","","","","",""
"3624237","","","","","","","294","294","294","0","0","0"
"3650383","308","308","308","0.058632079511880875","0.058632079511880875","0.058632079511880875","","","","","",""
"3651698","","","","","","","296","296","296","0","0","0"
"3676763","","","","","","","298","298","298","0","0","0"
"3677757","310","310","310","0.07743572443723679","0.07743572443723679","0.07743572443723679","","","","","",""
"3696952","","","","","","","300","300","300","0","0","0"
"3698323","312","312","312","0.06349032372236252","0.06349032372236252","0.06349032372236252","","","","","",""
"3720844","314","314","314","0.06333587318658829","0.06333587318658829","0.06333587318658829","","","","","",""
"3722583","","","","","","","302","302","302","0","0","0"
"3747461","","","","","","","304","304","304","0","0","0"
"3749171","316","316","316","0.06031445413827896","0.06031445413827896","0.06031445413827896","","","","","",""
"3770218","318","318","318","0.06562452018260956","0.06562452018260956","0.06562452018260956","","","","","",""
"3771265","","","","","","","306","306","306","0","0","0"
"3794407","320","320","320","0.053259894251823425","0.053259894251823425","0.053259894251823425","","","","","",""
"3795098","","","","","","","308","308","308","0","0","0"
"3824246","","","","","","","310","310","310","0","0","0"
"3825071","322","322","322","0.06563257426023483","0.06563257426023483","0.06563257426023483","","","","","",""
"3849960","","","","","","","312","312","312","0","0","0"
"3854203","324","324","324","0.05862722173333168","0.05862722173333168","0.05862722173333168","","","","","",""
"3878272","326","326","326","0.060313161462545395","0.060313161462545395","0.060313161462545395","","","","","",""
"3881295","","","","","","","314","314","314","0","0","0"
"3900993","328","328","328","0.03496537730097771","0.03496537730097771","0.03496537730097771","","","","","",""
"3910314","","","","","","","316","316","316","0","0","0"
"3929654","330","330","330","0.06442590057849884","0.06442590057849884","0.06442590057849884","","","","","",""
"3932318","","","","","","","318","318","318","0","0","0"
"3960287","332","332","332","0.057015806436538696","0.057015806436538696","0.057015806436538696","","","","","",""
"3964353","","","","","","","320","320","320","0","0","0"
"3984107","334","334","334","0.0677560567855835","0.0677560567855835","0.0677560567855835","","","","","",""
"3996044","","","","","","","322","322","322","0","0","0"
"4002680","336","336","336","0.06938382983207703","0.06938382983207703","0.06938382983207703","","","","","",""
"4022028","","","","","","","324","324","324","0","0","0"
