"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - regularize/kl_div","HR-PPO - regularize/kl_div__MIN","HR-PPO - regularize/kl_div__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - regularize/kl_div","PPO - regularize/kl_div__MIN","PPO - regularize/kl_div__MAX"
"2155786","","","","","","","180","180","180","7.9922590255737305","7.9922590255737305","7.9922590255737305"
"2162211","188","188","188","1.313097596168518","1.313097596168518","1.313097596168518","","","","","",""
"2188695","190","190","190","1.1542737483978271","1.1542737483978271","1.1542737483978271","","","","","",""
"2192202","","","","","","","182","182","182","8.604714393615723","8.604714393615723","8.604714393615723"
"2217309","","","","","","","184","184","184","8.634902954101562","8.634902954101562","8.634902954101562"
"2221939","192","192","192","1.3320075273513794","1.3320075273513794","1.3320075273513794","","","","","",""
"2243492","","","","","","","186","186","186","7.962706089019775","7.962706089019775","7.962706089019775"
"2251559","194","194","194","1.1143431663513184","1.1143431663513184","1.1143431663513184","","","","","",""
"2268098","","","","","","","188","188","188","8.305915832519531","8.305915832519531","8.305915832519531"
"2276399","196","196","196","0.9987963438034058","0.9987963438034058","0.9987963438034058","","","","","",""
"2292292","","","","","","","190","190","190","8.587753295898438","8.587753295898438","8.587753295898438"
"2300027","198","198","198","1.3107240200042725","1.3107240200042725","1.3107240200042725","","","","","",""
"2319078","","","","","","","192","192","192","7.823028564453125","7.823028564453125","7.823028564453125"
"2322014","200","200","200","1.4317032098770142","1.4317032098770142","1.4317032098770142","","","","","",""
"2343490","","","","","","","194","194","194","8.331291198730469","8.331291198730469","8.331291198730469"
"2345951","202","202","202","1.1110730171203613","1.1110730171203613","1.1110730171203613","","","","","",""
"2371140","","","","","","","196","196","196","8.845358848571777","8.845358848571777","8.845358848571777"
"2374210","204","204","204","1.0472772121429443","1.0472772121429443","1.0472772121429443","","","","","",""
"2395259","206","206","206","1.1919639110565186","1.1919639110565186","1.1919639110565186","","","","","",""
"2398776","","","","","","","198","198","198","9.105852127075195","9.105852127075195","9.105852127075195"
"2416297","208","208","208","1.1214518547058105","1.1214518547058105","1.1214518547058105","","","","","",""
"2422392","","","","","","","200","200","200","8.388970375061035","8.388970375061035","8.388970375061035"
"2443051","210","210","210","1.1560434103012085","1.1560434103012085","1.1560434103012085","","","","","",""
"2444982","","","","","","","202","202","202","8.552940368652344","8.552940368652344","8.552940368652344"
"2469817","212","212","212","1.21315336227417","1.21315336227417","1.21315336227417","","","","","",""
"2472808","","","","","","","204","204","204","8.807121276855469","8.807121276855469","8.807121276855469"
"2493279","214","214","214","0.9928625226020813","0.9928625226020813","0.9928625226020813","","","","","",""
"2495518","","","","","","","206","206","206","8.772855758666992","8.772855758666992","8.772855758666992"
"2517480","216","216","216","1.2295691967010498","1.2295691967010498","1.2295691967010498","","","","","",""
"2524282","","","","","","","208","208","208","9.05512523651123","9.05512523651123","9.05512523651123"
"2545210","218","218","218","1.311491847038269","1.311491847038269","1.311491847038269","","","","","",""
"2551612","","","","","","","210","210","210","8.6346435546875","8.6346435546875","8.6346435546875"
"2573311","220","220","220","1.1923606395721436","1.1923606395721436","1.1923606395721436","","","","","",""
"2581115","","","","","","","212","212","212","8.91991138458252","8.91991138458252","8.91991138458252"
"2598877","222","222","222","1.108436942100525","1.108436942100525","1.108436942100525","","","","","",""
"2611186","","","","","","","214","214","214","9.350865364074707","9.350865364074707","9.350865364074707"
"2625921","224","224","224","1.028552770614624","1.028552770614624","1.028552770614624","","","","","",""
